@RELATION Ice99999

@ATTRIBUTE countlinecode REAL
@ATTRIBUTE countclassbase REAL
@ATTRIBUTE countclasscoupled REAL
@ATTRIBUTE countclassderived REAL
@ATTRIBUTE countdeclmethodall REAL
@ATTRIBUTE countdeclmethod REAL
@ATTRIBUTE maxinheritancetree REAL
@ATTRIBUTE percentlackofcohesion REAL
@ATTRIBUTE countdeclinstancemethod REAL
@ATTRIBUTE countdeclinstancevariable REAL
@ATTRIBUTE defect {0.0,1.0}

@DATA
121.0,1.0,1.0,0.0,15.0,15.0,1.0,80.0,14.0,7.0,1.0
73.0,1.0,0.0,0.0,16.0,16.0,1.0,66.0,16.0,3.0,1.0
6.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,1.0
34.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
23.0,1.0,2.0,0.0,25.0,3.0,2.0,44.0,3.0,3.0,1.0
137.0,1.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0
79.0,1.0,4.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0
121.0,1.0,3.0,0.0,19.0,19.0,1.0,86.0,18.0,10.0,1.0
133.0,1.0,1.0,0.0,13.0,13.0,1.0,78.0,12.0,4.0,1.0
951.0,1.0,5.0,2.0,22.0,22.0,1.0,88.0,21.0,7.0,1.0
50.0,2.0,2.0,0.0,26.0,4.0,2.0,46.0,4.0,8.0,1.0
45.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
70.0,3.0,3.0,0.0,10.0,10.0,1.0,85.0,9.0,8.0,0.0
212.0,2.0,3.0,0.0,15.0,15.0,1.0,66.0,11.0,11.0,0.0
54.0,2.0,1.0,0.0,3.0,3.0,1.0,50.0,3.0,2.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
66.0,2.0,3.0,0.0,6.0,6.0,1.0,64.0,5.0,7.0,0.0
21.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0
36.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0
82.0,1.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
96.0,1.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
18.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
76.0,2.0,3.0,0.0,9.0,9.0,1.0,80.0,8.0,8.0,0.0
72.0,1.0,1.0,0.0,3.0,3.0,1.0,62.0,3.0,9.0,1.0
82.0,2.0,7.0,0.0,4.0,4.0,1.0,75.0,3.0,3.0,0.0
80.0,1.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
73.0,1.0,7.0,2.0,192.0,6.0,4.0,62.0,6.0,2.0,1.0
44.0,2.0,5.0,0.0,5.0,5.0,2.0,40.0,5.0,2.0,1.0
255.0,2.0,17.0,0.0,18.0,18.0,1.0,72.0,12.0,10.0,1.0
9.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
16.0,1.0,2.0,0.0,370.0,1.0,5.0,0.0,1.0,0.0,1.0
3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
