@RELATION Jelly99999

@ATTRIBUTE countlinecode REAL
@ATTRIBUTE countclassbase REAL
@ATTRIBUTE countclasscoupled REAL
@ATTRIBUTE countclassderived REAL
@ATTRIBUTE countdeclmethodall REAL
@ATTRIBUTE countdeclmethod REAL
@ATTRIBUTE maxinheritancetree REAL
@ATTRIBUTE percentlackofcohesion REAL
@ATTRIBUTE countdeclinstancemethod REAL
@ATTRIBUTE countdeclinstancevariable REAL
@ATTRIBUTE defect {0.0,1.0}

@DATA
34.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
45.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
70.0,3.0,3.0,0.0,10.0,10.0,1.0,85.0,9.0,8.0,0.0
212.0,2.0,3.0,0.0,15.0,15.0,1.0,66.0,11.0,11.0,0.0
54.0,2.0,1.0,0.0,3.0,3.0,1.0,50.0,3.0,2.0,0.0
5.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
66.0,2.0,3.0,0.0,6.0,6.0,1.0,64.0,5.0,7.0,0.0
36.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0
82.0,1.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
96.0,1.0,5.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
18.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
76.0,2.0,3.0,0.0,9.0,9.0,1.0,80.0,8.0,8.0,0.0
86.0,1.0,1.0,0.0,3.0,3.0,1.0,62.0,3.0,9.0,1.0
82.0,2.0,7.0,0.0,4.0,4.0,1.0,75.0,3.0,3.0,0.0
80.0,1.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
178.0,1.0,9.0,2.0,206.0,10.0,4.0,62.0,10.0,2.0,1.0
7.0,0.0,1.0,2.0,5.0,5.0,0.0,0.0,5.0,0.0,1.0
67.0,2.0,9.0,0.0,6.0,6.0,2.0,41.0,6.0,2.0,1.0
21.0,2.0,2.0,0.0,5.0,5.0,1.0,0.0,5.0,0.0,1.0
295.0,2.0,18.0,0.0,19.0,19.0,1.0,73.0,13.0,11.0,1.0
9.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
16.0,1.0,2.0,0.0,399.0,1.0,5.0,0.0,1.0,0.0,1.0
3.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
4.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
339.0,1.0,9.0,0.0,40.0,14.0,6.0,14.0,14.0,1.0,1.0
5.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0
